Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
25/08/2020,9700,9950,11000,11100,12050,12000
26/08/2020,9700,9950,11000,11100,12050,12000
27/08/2020,9700,9900,11150,11000,12050,12000
28/08/2020,9700,9900,11150,11000,12050,12000
31/08/2020,9750,9900,11150,11000,12050,12000
01/09/2020,9700,9950,11200,11050,12050,11950
02/09/2020,9700,9950,11200,11050,12050,11950
03/09/2020,9700,9950,11200,11050,12050,11950
04/09/2020,9650,10000,11150,11100,12000,11950
07/09/2020,9650,10000,11150,11100,12000,11950
08/09/2020,9650,10000,11250,11100,12000,11950
09/09/2020,9650,10000,11250,11100,12000,11950
10/09/2020,9650,10000,11250,11100,12000,11950
11/09/2020,9650,10000,11250,11100,12000,11950
14/09/2020,9650,10000,11250,11100,12000,11950
15/09/2020,9650,10000,11250,11100,12000,11950
16/09/2020,9650,10000,11250,11100,12000,11950
17/09/2020,9650,10000,11250,11100,12000,11950
18/09/2020,9650,10000,11250,11100,12000,11950
21/09/2020,9650,10000,11250,11100,12000,11950
22/09/2020,9650,10000,11250,11100,12000,11950
23/09/2020,9650,10000,11250,11100,12000,11950
24/09/2020,9650,10000,11250,11100,12000,11950
25/09/2020,9650,10000,11250,11100,12000,11950
28/09/2020,9650,10000,11250,11100,12000,11950
29/09/2020,9650,10000,11250,11100,12000,11950
30/09/2020,9650,10000,11250,11100,12000,11950
01/10/2020,9650,10000,11250,11100,12000,11950
02/10/2020,9650,10000,11250,11100,12000,11950
05/10/2020,9650,10000,11250,11100,12000,11950
06/10/2020,9650,10000,11250,11100,12000,11950
07/10/2020,9650,10000,11250,11100,12000,11950
08/10/2020,9650,10000,11250,11100,12000,11950
09/10/2020,9650,10000,11250,11100,12000,11950
12/10/2020,9650,10000,11250,11100,12000,11950
13/10/2020,9650,10000,11250,11100,12000,11950
14/10/2020,9650,10000,11250,11100,12000,11950
15/10/2020,9650,10000,11250,11100,12000,11950
16/10/2020,9650,10000,11250,11100,12000,11950
19/10/2020,9650,10000,11250,11100,12000,11950
20/10/2020,9650,10000,11250,11100,12000,11950
21/10/2020,9650,10000,11250,11100,12000,11950
22/10/2020,9650,10000,11250,11100,12000,11950
23/10/2020,9650,10000,11250,11100,12000,11950
