No,Kategori,Train_Samples,Test_Samples,Features,Training_Time,Support_Vectors,Train_MAE,Train_RMSE,Train_MAPE,Test_MAE,Test_RMSE,Test_MAPE,Interpretasi
1,Bawah I,982,246,16,0.08s,199,40.474681897291575,47.44693675793244,0.3956827322393921,866.5295513543382,908.9620806620699,7.005954438299562,Sangat Baik
2,Bawah II,982,246,16,0.03s,182,48.31413564090072,56.24489635119801,0.45090970666353586,690.896224640091,751.8322888471098,5.355434754902955,Sangat Baik
3,Medium I,982,246,16,0.08s,262,49.90743097111939,56.95421728534042,0.4267542947965268,725.5390913682714,787.2499254161509,5.188045638966582,Sangat Baik
4,Medium II,982,246,16,0.03s,195,46.402347181318596,54.57073651503187,0.390784396963277,715.9239821907597,763.4858700148953,5.070144755387553,Sangat Baik
5,Super I,982,246,16,0.05s,236,40.36156140023008,46.76562161183617,0.3210611496965496,860.9246209913127,925.1087036783817,5.890305567241688,Sangat Baik
6,Super II,982,246,16,0.05s,218,47.4686212172657,55.42285686737819,0.37360290149132436,815.3108474779362,866.9232090954896,5.450392128007456,Sangat Baik
