Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2020,6/17/2020,9700,9950,10900,11150,12100,12000
2020,6/18/2020,9700,9950,10900,11150,12100,12000
2020,6/19/2020,9700,9950,10900,11150,12100,12000
2020,6/22/2020,9700,9950,10900,11150,12100,12000
2020,6/23/2020,9700,9950,10900,11150,12100,12000
2020,6/24/2020,9700,9950,10900,11150,12100,12000
2020,6/25/2020,9700,9950,10900,11150,12100,12000
2020,6/26/2020,9700,9950,10900,11150,12100,12000
2020,6/29/2020,9700,9950,10900,11150,12100,12000
2020,6/30/2020,9700,9950,10900,11150,12100,12000
2020,7/1/2020,9700,10000,10950,11200,12150,12100
2020,7/2/2020,9700,10000,10950,11200,12150,12100
2020,7/3/2020,9700,10000,10950,11200,12150,12100
2020,7/6/2020,9700,10000,10950,11200,12150,12100
2020,7/7/2020,9700,10000,10950,11200,12150,12100
2020,7/8/2020,9700,10000,10950,11200,12150,12100
2020,7/9/2020,9700,10000,10950,11200,12150,12100
2020,7/10/2020,9700,10000,10950,11200,12150,12100
2020,7/13/2020,9700,10000,10950,11200,12150,12100
2020,7/14/2020,9700,10000,10950,11200,12150,12100
2020,7/15/2020,9700,10000,10950,11200,12150,12100
2020,7/16/2020,9700,10000,10950,11200,12150,12100
2020,7/17/2020,9700,10000,10950,11200,12150,12100
2020,7/20/2020,9700,9950,10950,11200,12150,12100
2020,7/21/2020,9700,9950,10950,11200,12150,12100
2020,7/22/2020,9700,9950,10950,11200,12150,12100
2020,7/23/2020,9700,9950,10950,11200,12150,12100
2020,7/24/2020,9700,9950,10950,11200,12150,12100
2020,7/27/2020,9700,9950,10950,11200,12150,12100
2020,7/28/2020,9700,9950,10950,11200,12150,12100
2020,7/29/2020,9700,9950,10950,11250,12150,12100
2020,7/30/2020,9700,9950,10950,11200,12150,12100
2020,8/3/2020,9800,10000,11000,11200,12150,12100
2020,8/4/2020,9750,10000,11000,11200,12150,12100
2020,8/5/2020,9750,10000,11000,11200,12150,12100
2020,8/6/2020,9750,10000,11000,11200,12150,12100
2020,8/7/2020,9750,10000,11000,11200,12150,12100
2020,8/10/2020,9750,10000,11000,11200,12150,12100
2020,8/11/2020,9700,9950,11000,11150,12100,12050
2020,8/12/2020,9700,9950,11000,11150,12100,12050
2020,8/13/2020,9700,9950,11000,11150,12100,12050
2020,8/14/2020,9700,9950,11000,11150,12100,12050
2020,8/18/2020,9700,9950,11000,11150,12100,12050
2020,8/19/2020,9700,9950,11000,11150,12100,12050
2020,8/24/2020,9700,9950,11000,11150,12100,12050
2020,8/25/2020,9700,9950,11000,11100,12050,12000
